specimen_collection_date,new_cases,cumulative_cases,data_as_of,data_loaded_at
10/21/2020 12:00:00 AM,29,12129,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/24/2020 12:00:00 AM,32,12270,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/27/2020 12:00:00 AM,75,12429,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/30/2020 12:00:00 AM,58,12600,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/02/2020 12:00:00 AM,97,12781,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/05/2020 12:00:00 AM,123,13128,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/08/2020 12:00:00 AM,31,13335,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/11/2020 12:00:00 AM,107,13683,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/14/2020 12:00:00 AM,74,14008,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/17/2020 12:00:00 AM,143,14383,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/20/2020 12:00:00 AM,165,14899,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/23/2020 12:00:00 AM,178,15249,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/26/2020 12:00:00 AM,54,15659,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
11/29/2020 12:00:00 AM,131,16021,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/02/2020 12:00:00 AM,299,16894,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/05/2020 12:00:00 AM,141,17557,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/08/2020 12:00:00 AM,310,18305,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/11/2020 12:00:00 AM,313,19242,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/14/2020 12:00:00 AM,367,19936,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/17/2020 12:00:00 AM,308,20968,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/20/2020 12:00:00 AM,103,21494,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/23/2020 12:00:00 AM,290,22438,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/26/2020 12:00:00 AM,221,22960,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
12/29/2020 12:00:00 AM,438,23945,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/01/2021 12:00:00 AM,66,24662,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/04/2021 12:00:00 AM,561,25632,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/07/2021 12:00:00 AM,442,26910,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/10/2021 12:00:00 AM,117,27610,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/13/2021 12:00:00 AM,312,28636,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/16/2021 12:00:00 AM,155,29413,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/19/2021 12:00:00 AM,216,29919,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/22/2021 12:00:00 AM,205,30564,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/25/2021 12:00:00 AM,197,30961,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/28/2021 12:00:00 AM,149,31399,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
01/31/2021 12:00:00 AM,89,31771,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/03/2021 12:00:00 AM,186,32271,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/06/2021 12:00:00 AM,83,32676,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/09/2021 12:00:00 AM,106,32970,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/12/2021 12:00:00 AM,90,33280,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/15/2021 12:00:00 AM,70,33435,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/18/2021 12:00:00 AM,88,33688,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/21/2021 12:00:00 AM,37,33829,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/24/2021 12:00:00 AM,56,34040,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/27/2021 12:00:00 AM,22,34169,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/02/2021 12:00:00 AM,41,34283,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/05/2021 12:00:00 AM,37,34393,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/08/2021 12:00:00 AM,38,34479,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/11/2021 12:00:00 AM,43,34585,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/14/2021 12:00:00 AM,14,34667,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/17/2021 12:00:00 AM,34,34765,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/20/2021 12:00:00 AM,33,34875,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/23/2021 12:00:00 AM,35,34971,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/26/2021 12:00:00 AM,42,35110,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/29/2021 12:00:00 AM,52,35204,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/01/2021 12:00:00 AM,48,35334,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/04/2021 12:00:00 AM,11,35393,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/07/2021 12:00:00 AM,49,35536,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/10/2021 12:00:00 AM,32,35637,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/13/2021 12:00:00 AM,36,35728,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/16/2021 12:00:00 AM,31,35848,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/19/2021 12:00:00 AM,32,35922,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/22/2021 12:00:00 AM,27,36012,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/25/2021 12:00:00 AM,15,36067,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/28/2021 12:00:00 AM,33,36159,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/01/2021 12:00:00 AM,18,36242,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/04/2021 12:00:00 AM,31,36306,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/07/2021 12:00:00 AM,19,36369,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/10/2021 12:00:00 AM,13,36413,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/13/2021 12:00:00 AM,22,36477,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/16/2021 12:00:00 AM,12,36514,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/19/2021 12:00:00 AM,25,36577,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/22/2021 12:00:00 AM,6,36616,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/25/2021 12:00:00 AM,19,36656,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/28/2021 12:00:00 AM,9,36697,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
05/31/2021 12:00:00 AM,11,36727,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/03/2021 12:00:00 AM,21,36789,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/06/2021 12:00:00 AM,4,36811,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/09/2021 12:00:00 AM,11,36847,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/12/2021 12:00:00 AM,8,36881,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/15/2021 12:00:00 AM,9,36908,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/18/2021 12:00:00 AM,10,36947,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/21/2021 12:00:00 AM,21,36979,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/24/2021 12:00:00 AM,21,37025,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/27/2021 12:00:00 AM,9,37060,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
06/30/2021 12:00:00 AM,40,37173,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/03/2021 12:00:00 AM,34,37282,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
